run,dclm_baseline,dolma3_dolmino_mix_code,dolma3_dolmino_mix_math,finemath,finepdfs,finepdfs_edu,finephrase,hplt4_ab,hplt4_cc,hplt4_ia,megamath,nemotron_cc:high,nemotron_cc:medium,nemotron_cc:medium_high,nemotron_pretraining_v1,nemotron_pretraining_v1_1,olmo_mix_arxiv,olmo_mix_pes2o,olmo_mix_wiki,open_web_math,starcoder,swallow_code_2_0,the_stack,the_stack_v2,the_stackv2_edu
nested-swarm-0030,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947,0.0
nested-swarm-0031,0.009602,0.0,0.0,0.246849,0.0,0.0,0.0,0.0,0.028806,0.102821,0.0,0.0,0.0,0.0,0.555211,0.0,0.005401,0.0002,0.0,0.0,0.0,0.0,0.0,0.05111,0.0
nested-swarm-0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9903,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0033,0.006099,0.0,0.0,0.0002,0.002,0.307969,0.0,0.0007,0.09679,0.037596,0.548045,0.0,0.0,0.0,0.0004,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0034,0.368637,0.0026,0.0004,0.076808,0.0,0.0,0.0021,0.0024,0.038904,0.0018,0.185919,0.0,0.005101,0.0003,0.0026,0.031203,0.001,0.0012,0.021202,0.0,0.0,0.0,0.0,0.257826,0.0
nested-swarm-0035,0.120488,0.0,0.0,0.009099,0.0,0.0,0.0002,0.0,0.0017,0.0,0.016398,0.0,0.0,0.0,0.508549,0.0,0.320068,0.023498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0036,0.0,0.0,0.0,0.0078,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.8493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0037,0.2554,0.0182,0.0002,0.0465,0.0,0.0003,0.0,0.0175,0.0104,0.0,0.2734,0.0,0.0,0.0,0.0822,0.0091,0.0261,0.0958,0.0371,0.0,0.0,0.0,0.0,0.1278,0.0
nested-swarm-0038,0.0,0.0,0.0005,0.0,0.0,0.0,0.1369,0.0,0.0,0.0,0.0494,0.0,0.0,0.0,0.799,0.0002,0.0016,0.0002,0.0,0.0,0.0,0.0,0.0,0.0122,0.0
nested-swarm-0039,0.003501,0.018204,0.019604,0.053611,0.0,0.004001,0.007502,0.006001,0.014603,0.0,0.096619,0.436687,0.0,0.0,0.0006,0.115923,0.0015,0.0014,0.009402,0.0,0.0,0.0,0.0,0.0008,0.210042
nested-swarm-0040,0.0,0.0,0.0,0.9772,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0041,0.0,0.0002,0.016102,0.0,0.013901,0.019502,0.0,0.29853,0.160716,0.0,0.0,0.0,0.0,0.0,0.0013,0.0013,0.012001,0.0,0.454645,0.0,0.0,0.0,0.0,0.0031,0.018702
nested-swarm-0042,0.0,0.0,0.0,0.8099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.1886,0.0
nested-swarm-0043,0.0062,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1072,0.0,0.0,0.0094,0.86,0.0,0.0,0.0,0.0,0.0164,0.0
nested-swarm-0044,0.2332,0.0474,0.0008,0.5246,0.0,0.0005,0.0,0.0,0.0065,0.0002,0.0754,0.0,0.0,0.0,0.0691,0.0,0.0118,0.0222,0.0,0.0,0.0077,0.0,0.0,0.0,0.0006
nested-swarm-0045,0.10411,0.0,0.0,0.653065,0.0,0.0005,0.0,0.0002,0.021202,0.0006,0.147215,0.0,0.0002,0.0,0.006001,0.0,0.026303,0.040504,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0046,0.0424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0047,0.0343,0.0537,0.0,0.5112,0.0023,0.0842,0.0,0.0002,0.2442,0.0,0.0409,0.0,0.0,0.0,0.0079,0.0144,0.0051,0.001,0.0,0.0,0.0006,0.0,0.0,0.0,0.0
nested-swarm-0048,0.003,0.018702,0.052405,0.10411,0.0,0.0,0.0002,0.0,0.467347,0.0,0.0026,0.0,0.0,0.0,0.0002,0.279728,0.0037,0.0033,0.0,0.0,0.0,0.064206,0.0,0.0005,0.0
nested-swarm-0049,0.010199,0.020798,0.0,0.044596,0.014399,0.538746,0.0011,0.0004,0.116588,0.0,0.070193,0.0,0.0,0.0,0.062694,0.0011,0.039196,0.038396,0.041596,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0050,0.1183,0.0,0.0007,0.0398,0.0,0.0092,0.0,0.0,0.0046,0.0101,0.0102,0.0,0.0119,0.0,0.0176,0.0298,0.0043,0.0104,0.0002,0.0636,0.0,0.0,0.0,0.6693,0.0
nested-swarm-0051,0.0,0.0,0.0435,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.5018,0.0,0.0,0.0,0.0002,0.0,0.0,0.1212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0052,0.1645,0.0,0.0,0.0,0.0,0.0,0.0,0.6294,0.0,0.0,0.0,0.0,0.0,0.0,0.2059,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0053,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943,0.0
nested-swarm-0054,0.230523,0.0026,0.0,0.0002,0.0,0.0,0.0,0.0,0.129313,0.0,0.0023,0.0,0.0,0.0,0.0,0.540454,0.0002,0.0,0.012601,0.0,0.081808,0.0,0.0,0.0,0.0
nested-swarm-0055,0.0,0.0,0.0,0.0007,0.0,0.0023,0.0,0.0,0.9696,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209,0.0
nested-swarm-0056,0.0417,0.0,0.0265,0.0635,0.0003,0.8104,0.0,0.0,0.0,0.0,0.0177,0.0,0.0,0.0,0.0032,0.0,0.0029,0.0008,0.033,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0057,0.0,0.0,0.0,0.0,0.0,0.9966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.6919,0.0,0.0,0.0,0.0,0.0,0.0069,0.0
nested-swarm-0059,0.059794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087691,0.0,0.0,0.852515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4758,0.0,0.0,0.0,0.1151,0.006,0.0,0.3965,0.0066,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0061,0.0006,0.0,0.0,0.008999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990401,0.0
nested-swarm-0062,0.0002,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.026497,0.0,0.0,0.0,0.316968,0.0041,0.622738,0.017698,0.0,0.0,0.011499,0.0,0.0,0.0,0.0
nested-swarm-0063,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0064,0.09639,0.0,0.0,0.19828,0.0,0.001,0.0,0.367763,0.0,0.0024,0.185481,0.0,0.0,0.0,0.0009,0.0,0.058194,0.088891,0.0,0.0002,0.0,0.0,0.0,0.0005,0.0
nested-swarm-0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0066,0.5487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4507,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0067,0.617,0.0,0.0,0.0072,0.0,0.0015,0.0003,0.0002,0.1193,0.0219,0.0008,0.0,0.0,0.002,0.0,0.1193,0.0004,0.0,0.0002,0.0072,0.0,0.0,0.0,0.1027,0.0
nested-swarm-0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0376,0.9624
nested-swarm-0069,0.9409,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,0.0327,0.0,0.0,0.0165
nested-swarm-0070,0.1118,0.0,0.0,0.3129,0.0,0.0008,0.0244,0.0056,0.1294,0.0315,0.3761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0
nested-swarm-0071,0.0,0.0,0.0,0.8696,0.0,0.0,0.0,0.0,0.0717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0587
nested-swarm-0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.9976,0.0,0.0,0.0
nested-swarm-0073,0.4484,0.0094,0.0,0.0039,0.0,0.0143,0.0,0.0,0.2406,0.0,0.1555,0.0938,0.0,0.0,0.0004,0.0169,0.0006,0.0013,0.0,0.0,0.0052,0.0,0.0,0.0097,0.0
nested-swarm-0074,0.0002,0.078908,0.0,0.50485,0.0002,0.0,0.0008,0.0,0.0006,0.014701,0.259226,0.0,0.0,0.0,0.021402,0.0,0.036304,0.059606,0.011201,0.0,0.0,0.011001,0.0,0.0,0.001
nested-swarm-0075,0.0627,0.4638,0.0016,0.2598,0.0451,0.0,0.0,0.0009,0.0043,0.0002,0.0756,0.0,0.0002,0.0,0.0151,0.0006,0.0363,0.0072,0.0006,0.0,0.0,0.0,0.0,0.0254,0.0006
nested-swarm-0076,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nested-swarm-0077,0.0343,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.4152,0.0,0.5248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.0,0.0,0.0
